id,type,building_name,floor,x,y
266,path,McNeal Hall,0G,-93.18332773515338,44.98591730766587
267,path,McNeal Hall,0G,-93.18333754295965,44.985960747912046
270,path,Kaufert Laboratory,01,-93.18420148600606,44.98768631328333
271,path,Kaufert Laboratory,01,-93.1843500880153,44.98771114178179
274,path,Kaufert Laboratory,01,-93.18439318019948,44.98759046370432
279,path,Kaufert Laboratory,01,-93.18501120135203,44.987703663817086
280,path,Kaufert Laboratory,01,-93.18504980645135,44.98771079806228
281,path,Kaufert Laboratory,01,-93.18497147246026,44.98781690754474
282,path,Kaufert Laboratory,01,-93.1849529438092,44.98786942026795
283,path,Kaufert Laboratory,01,-93.18494101597886,44.98790280797373
285,path,Skok Hall,0B,-93.18507370253623,44.98771521304711
286,path,Skok Hall,0B,-93.18514684875655,44.98750966588475
287,path,Skok Hall,0B,-93.18529610294269,44.987537020583446
288,path,Skok Hall,0B,-93.18527408972665,44.98760293229739
290,path,Moos Tower,02,-93.23199266850328,44.973108382987974
292,path,Moos Tower,02,-93.23193540359885,44.97310815992646
293,path,Moos Tower,02,-93.23193554193941,44.97320389390891
294,path,Moos Tower,02,-93.23186278109634,44.973203275565616
295,path,Moos Tower,02,-93.23184374579547,44.97320325014554
299,path,Moos Tower,02,-93.23184400720521,44.972701900552984
301,path,Moos Tower,02,-93.23105662038397,44.97327542658603
302,path,Moos Tower,02,-93.23193473794724,44.97345441009055
303,path,Phillips-Wangensteen Bldg,02,-93.23184007348259,44.972175436819995
304,path,Phillips-Wangensteen Bldg,02,-93.23183454345372,44.971973604454014
305,path,Phillips-Wangensteen Bldg,02,-93.23183388768355,44.97193731078982
306,path,Phillips-Wangensteen Bldg,02,-93.23206225380181,44.971935526261234
307,path,Phillips-Wangensteen Bldg,02,-93.23206028828797,44.97167614050083
309,path,Phillips-Wangensteen Bldg,02,-93.23184033399403,44.972247072461926
310,path,Phillips-Wangensteen Bldg,02,-93.23184068074373,44.97231997077598
317,path,Phillips-Wangensteen Bldg,02,-93.23184342060536,44.97267389691281
318,path,Phillips-Wangensteen Bldg,02,-93.2310467712552,44.97217544762371
324,path,Tate Hall,0B,-93.23442358871385,44.97531028514949
325,path,Tate Hall,0B,-93.23442328598159,44.97528370117166
326,path,Tate Hall,0B,-93.23447707440586,44.97528412694241
327,path,Tate Hall,0B,-93.23447673124942,44.97518979830111
328,path,Tate Hall,0B,-93.2342945636896,44.975188890835945
329,path,Tate Hall,0B,-93.23429480084482,44.974917451336474
332,path,Weaver-Densford Hall,02,-93.23097540459744,44.97327619617779
335,path,McNamara Alumni Ctr,0B,-93.22781492481539,44.97520789040892
336,path,McNamara Alumni Ctr,0B,-93.22798208062852,44.97527449308332
338,path,Ferguson Hall,0B,-93.24185552173928,44.970929002619314
339,path,Ferguson Hall,0B,-93.24180806464113,44.970928977198234
340,path,Ferguson Hall,0B,-93.24180762626328,44.97082543576825
341,path,Ferguson Hall,0B,-93.24174735918918,44.970825072881674
342,path,Ferguson Hall,0B,-93.24174843447257,44.970694271497656
343,path,Ferguson Hall,0B,-93.24214407228665,44.97069514979962
344,path,Ferguson Hall,0B,-93.24214621476858,44.97058175467743
345,path,Ferguson Hall,0B,-93.2420961283016,44.971316721103534
346,path,Ferguson Hall,0B,-93.2420963977962,44.97129372597948
347,path,Ferguson Hall,0B,-93.24199914438691,44.97129296017427
348,path,Ferguson Hall,0B,-93.24200078471061,44.97092908142468
349,path,Rarig Ctr,0B,-93.24214684358928,44.97054410009551
350,path,Rarig Ctr,0B,-93.24262948503524,44.97054643313089
352,path,Magrath Library,0G,-93.18449295248482,44.983891192243405
353,path,Magrath Library,0G,-93.18449248895413,44.98394165182874
354,path,Magrath Library,0G,-93.18445184557741,44.983972101272194
355,path,Magrath Library,0G,-93.18346588526428,44.983968259114114
356,path,Magrath Library,0G,-93.18346579722939,44.983993705543774
357,path,Magrath Library,0G,-93.18302103324739,44.983991722515704
358,path,Coffman Memorial Union,0T,-93.23533657348656,44.97250619571677
359,path,Hanson Hall,02,-93.24443550928642,44.96974238636773
360,path,Hanson Hall,02,-93.2445491785092,44.96974264757476
361,path,Hanson Hall,02,-93.24454897459164,44.96977577763954
362,path,Hanson Hall,02,-93.24454887398032,44.97013251265701
363,path,West Bank Skyway,0P,-93.24325931993208,44.972172691402754
364,path,West Bank Skyway,0P,-93.24327762310601,44.97219798418939
365,path,West Bank Skyway,0P,-93.2432768173172,44.972769856589494
367,path,Morrill Hall,0G,-93.23479914558806,44.97592404160712
368,path,Morrill Hall,0G,-93.23479836854533,44.9758542445317
369,path,Vincent Hall,02,-93.23468869143565,44.974390334324035
370,path,Vincent Hall,02,-93.23471638559757,44.97439036991139
371,path,Vincent Hall,02,-93.23471680061922,44.97432552969329
372,path,Vincent Hall,02,-93.23435211785153,44.97432698623496
373,path,Keller Hall,04,-93.23211220821645,44.97426782722646
374,path,Keller Hall,04,-93.23218281040789,44.97426822567869
375,path,Keller Hall,04,-93.2323196319105,44.974361552398776
376,path,Keller Hall,04,-93.23242608227167,44.97443501742254
377,path,Keller Hall,04,-93.23242728511585,44.9747103655328
378,path,Keller Hall,04,-93.23281819958814,44.97471010752582
379,path,Keller Hall,04,-93.23284102218625,44.97472459340779
380,path,Keller Hall,04,-93.23284093954123,44.97495822453674
381,path,Keller Hall,04,-93.23293059230491,44.97495850033607
382,path,Keller Hall,04,-93.2329304916936,44.97498768867022
383,path,Akerman Hall,02,-93.23249533878682,44.9754892635742
384,path,Akerman Hall,02,-93.23237870871684,44.975489255948446
385,path,Akerman Hall,02,-93.23237913811155,44.975594968638944
386,path,Akerman Hall,02,-93.2323761314503,44.97559509065024
387,path,Akerman Hall,02,-93.2323760838396,44.975613169920635
388,path,Akerman Hall,02,-93.23237592843105,44.97573955371149
389,path,Shepherd Laboratories,02,-93.23237620151889,44.975961296122826
390,path,Shepherd Laboratories,02,-93.2325931913724,44.97596239930091
391,path,Shepherd Laboratories,02,-93.23259172352523,44.97583982629519
392,path,Shepherd Laboratories,02,-93.23264226364142,44.97583918065501
393,path,Transportation & Safety Bldg,02,-93.23152237440091,44.973941362988015
394,path,Transportation & Safety Bldg,02,-93.23056778954569,44.97394738873861
395,path,Transportation & Safety Bldg,02,-93.23056915678156,44.97398250292636
396,path,Washington Avenue Ramp,03,-93.23046071036383,44.974254119069066
397,path,Washington Avenue Ramp,03,-93.23008280888675,44.97436970889957
398,path,Washington Avenue Ramp,03,-93.23005448141257,44.97437870932834
399,path,Graduate Hotel,02,-93.22936638448135,44.9743815594956
400,path,Graduate Hotel,02,-93.22936517804392,44.9744975557812
403,path,Children's Rehabilitation Ctr,06,-93.23405873257133,44.971667621371175
404,path,Children's Rehabilitation Ctr,06,-93.23395555746768,44.97166730933144
405,path,Children's Rehabilitation Ctr,06,-93.23366452038361,44.97165105656979
407,path,Dwan Variety Research Ctr,03,-93.23261191046628,44.97128287188114
408,path,Dwan Variety Research Ctr,03,-93.23245955888905,44.97128336123394
409,path,Dwan Variety Research Ctr,03,-93.23246296619892,44.97143927644961
410,path,Veterinary Science,03,-93.18301608981838,44.98119319493017
411,path,Veterinary Science,03,-93.18301663509577,44.98111515913492
412,path,Veterinary Science,03,-93.18305040097066,44.981115218228396
414,path,Veterinary Medical Ctr South,03,-93.18302192976603,44.98120436930726
415,path,Veterinary Medical Ctr South,03,-93.18302299965956,44.98170804068861
416,path,Veterinary Medical Ctr South,03,-93.18270825064522,44.98170652778308
417,path,Veterinary Medical Ctr South,03,-93.18245815967013,44.98170602962355
418,path,Veterinary Medical Ctr South,03,-93.1827075544509,44.98181277419039
419,path,Veterinary Diagnostic Laboratory,03,-93.1821367487497,44.98170454594674
